candidate,size,overlap_pct,overlap,chunks_median,chunks_p75,chunks_max,total_chunks
para_p75,320,0%,0,264,383,2504,8010
para_p75,320,10%,32,272,390,2530,8158
para_p75,320,15%,48,276,398,2552,8267
para_p90,576,0%,0,155,219,1385,4578
para_p90,576,10%,57,156,223,1404,4633
para_p90,576,15%,86,157,225,1416,4675
para_p95,832,0%,0,111,152,958,3206
para_p95,832,10%,83,113,154,971,3253
para_p95,832,15%,124,115,157,979,3281
subsection,576,0%,0,155,219,1385,4578
subsection,576,10%,57,156,223,1404,4633
subsection,576,15%,86,157,225,1416,4675
section,1152,0%,0,78,108,726,2354
section,1152,10%,115,79,109,732,2378
section,1152,15%,172,80,110,739,2398
doc_p25,47552,0%,0,28,34,365,925
doc_p25,47552,10%,4755,28,34,365,925
doc_p25,47552,15%,7132,28,34,365,925
