candidate,size,overlap,overlap_pct,avg_response_time_s,faithfulness,relevancy,composite
para_p75,320,0,0%,1.4,0.99,0.96,0.906
para_p75,320,32,10%,1.4,0.98,0.94,0.894
para_p75,320,48,15%,1.4,0.98,0.93,0.891
para_p90,576,0,0%,1.4,0.99,0.96,0.906
para_p90,576,57,10%,1.4,0.99,0.95,0.903
para_p90,576,86,15%,1.3,1.0,0.97,0.92
para_p95,832,0,0%,1.3,1.0,0.98,0.923
para_p95,832,83,10%,1.3,0.98,0.97,0.908
para_p95,832,124,15%,1.6,0.98,0.96,0.889
subsection,576,0,0%,1.5,0.98,0.96,0.894
subsection,576,57,10%,1.4,1.0,0.95,0.909
subsection,576,86,15%,1.4,1.0,0.97,0.915
section,1152,0,0%,1.3,0.98,0.96,0.905
section,1152,115,10%,1.5,0.99,0.97,0.903
section,1152,172,15%,1.6,0.99,0.96,0.895
doc_p25,47552,0,0%,1.7,0.94,0.91,0.845
doc_p25,47552,4755,10%,1.75,0.95,0.91,0.848
doc_p25,47552,7132,15%,1.84,0.94,0.93,0.843
